Library + Lua 5.2.3,global table,table chain,c function call,lua function call,C++ object member call,Returning a class object,std random(C++11) bind
plain api,461,776,286,1266,1741,2538,1332
plain api(*1),349,723,270,1196,1042,1909,473
kaguya,613,997,385,1391,1706,2591,883
Selene,3466,9416,379,3103,2700,4176,1927
sol(*1),600,3475,325,1079,3083,2818,
sol2(*1),430,713,306,1503,1570,4486,704
luwra,659,1279,463,2563,1897,4593,1192
lua-intf,1308,2462,307,1194,3040,3298,1489
luabind-deboostified,629,1261,363,1691,2032,3444,1136
luacppinterface(*1),1133,7932,741,1322,1564,,
